"MS_STATION","MS_LINE","MS_KOTEI","MS_ST_NAME","MS_SIJI_LVL","MS_KOTEI_SEQ","MS_PATURN","MS_KATA_KBN","MS_D_SERV","MS_D_TUKINO","MS_D_YOKUSI","MS_D_GATUDO","MS_D_RENBAN","MS_D_EDABAN","MS_D_IDNO","MS_D_YMD","MS_D_END","MS_U_SERV","MS_U_TUKINO","MS_U_YOKUSI","MS_U_GATUDO","MS_U_RENBAN","MS_U_EDABAN","MS_U_IDNO","MS_U_YMD","MS_U_END","MS_H_SERV","MS_H_TUKINO","MS_H_YOKUSI","MS_H_GATUDO","MS_H_RENBAN","MS_H_EDABAN","MS_H_IDNO","MS_H_YMD","MS_H_END","MS_U2_SERV","MS_U2_TUKINO","MS_U2_YOKUSI","MS_U2_GATUDO","MS_U2_RENBAN","MS_U2_EDABAN","MS_U2_IDNO","MS_U2_YMD","MS_U2_END","MS_PROC_FLG","MS_PROC_CODE","MS_PRE_STATION","MS_PASS","MS_PICK","MS_GROUP_C","MS_KIND","MS_KIND_NAME","MS_OUTSIDE","MS_INS_YMD","MS_UPD_YMD"
"224222","002190","ﾕｱﾂ","GS:Hｷﾞﾔ側ﾅｲｻﾞﾘﾝｸﾞPIC","1",1,"30","2","作業指示サーバ","20201201720",0,"202012",1720,0,"2879854",2020/12/01 1:45:11,"0","作業指示サーバ","20220300001","1","202203",1,0,2879854,2022/03/10 11:24:32," ","基幹サーバ","           ","1"," ",0,0,0,2009/10/05 10:08:52," ","MP5600","           ","1"," ",0,0,0,2009/10/05 10:08:52," ",0,"MS_C300C","      ",1,0,"          ","2","NEWPICK","0",2016/09/23 11:03:03,2022/03/10 11:24:32
"305200","003050","A入庫","倉庫入庫実績計上","3",1,"10","2","作業指示サーバ","20001200000",0,"200012",0,0,"1187219",2000/12/20 0:00:00,"0","作業指示サーバ","20210500008","0","202105",8,0,1000975,2021/05/28 16:13:00,"0","基幹サーバ","99999900000","1","999999",0,0,0,1999/12/31 0:00:00,"N","               ","           "," "," ",0,0,0,2005/08/08 0:00:00," ",1," "," ",0,0,"NONGROUP  ","0","順序管理","0",2008/08/04 0:00:00,2021/05/28 16:13:04
"346502","003460","DPF","DPF:機番管理レーン1","3",1,"10","2","作業指示サーバ","20220400021",1,"202204",21,0,"3000774",2022/04/08 14:33:05,"0","作業指示サーバ","20220307194","1","202203",7194,0,1256205,2022/03/25 18:14:12," ","基幹サーバ","20220400021","1","202204",21,0,0,2016/02/29 0:00:00," ","MP5600","20220400021","1","202204",21,0,3000774,2022/04/08 14:31:56,"0",0,"MS_C358D","346401",1,1,"          ","2","NEWPICK","0",2016/02/29 0:00:00,2022/04/08 14:33:05
"346503","003460","DPF","DPF:ﾄﾙｸﾚﾝﾁ　差圧ｾﾝｻ1","3",1,"10","2","作業指示サーバ","20220400021",1,"202204",21,0,"3000774",2022/04/08 14:33:08,"0","作業指示サーバ","20220400005","1","202204",5,0,3000771,2022/04/11 15:38:26," ","基幹サーバ","20220400021","1","202204",21,0,0,2016/02/29 0:00:00," ","MP5600","20220400021","1","202204",21,0,3000774,2022/04/08 14:32:13,"0",0,"MS_C358D","346401",3,3,"          ","1","設備制御","0",2016/02/29 0:00:00,2022/04/11 15:38:26
"346302","003460","差圧","DPF:差圧ﾊﾟｲﾌﾟ1","3",1,"10","2"," ","20220400021",1,"202204",21,0,"3000774",2022/04/08 14:33:03,"0"," ","20220307194","1","202203",7194,0,1061487,2022/03/25 16:28:44," "," ","20220400021","1","202204",21,0,0,2021/04/22 9:41:25," "," ","20220400021","1","202204",21,0,3000774,2022/04/08 14:32:21,"0",0,"MS_C358D","346401",674,619,"          ","1","設備制御","0",2021/11/05 16:15:55,2022/04/08 14:33:03
"346504","003460","DPF","DPF:ﾄﾙｸﾚﾝﾁ　温度ｾﾝｻ1","3",1,"10","2","作業指示サーバ","20220400021",1,"202204",21,0,"3000774",2022/04/08 14:33:10,"0","作業指示サーバ","20220307194","1","202203",7194,0,1559146,2020/10/13 0:00:00," ","基幹サーバ","20220400021","1","202204",21,0,0,2016/02/29 0:00:00," ","MP5600","20220400021","1","202204",21,0,3000774,2022/04/08 14:32:36,"0",0,"MS_C358D","346401",578,578,"          ","1","設備制御","0",2016/02/29 0:00:00,2022/04/08 14:33:10
"346505","003460","DPF","DPF:ﾘｰｸﾃｽﾀレーン1","3",1,"10","2","作業指示サーバ","20220400021",1,"202204",21,0,"3000774",2022/04/08 14:33:12,"0","作業指示サーバ","20220307194","1","202203",7194,0,1256205,2022/03/22 18:44:13," ","基幹サーバ","20220400021","1","202204",21,0,0,2016/02/29 0:00:00," ","MP5600","20220400021","1","202204",21,0,3000774,2022/04/08 14:32:44,"0",0,"MS_C358D","346401",2,2,"          ","1","設備制御","0",2016/02/29 0:00:00,2022/04/08 14:33:12
"346507","003460","DPF","DPF:ﾄﾙｸﾚﾝﾁ　ﾌﾞﾗｹｯﾄ1","3",1,"10","2","作業指示サーバ","20220400021",1,"202204",21,0,"3000774",2022/04/08 14:33:14,"0","作業指示サーバ","20220500001","1","202205",1,0,3010266,2022/05/17 20:06:14," ","基幹サーバ","20220400021","1","202204",21,0,0,2016/02/29 0:00:00," ","MP5600","20220400021","1","202204",21,0,3000774,2022/04/08 14:33:01,"0",0,"MS_C358D","346401",1,1,"          ","1","設備制御","0",2016/02/29 0:00:00,2022/05/17 20:06:14
"346702","003460","DPF","DPF:機番管理レーン2","3",1,"10","2","作業指示サーバ","20220400012",1,"202204",12,0,"3000775",2022/04/08 16:35:36,"0","作業指示サーバ","           ","1","      ",0,0,1256205,2022/03/25 18:14:12," ","基幹サーバ","20220400012","1","202204",12,0,0,2016/02/29 0:00:00," ","MP5600","20220400012","1","202204",12,0,3000775,2022/04/08 16:35:29,"0",0,"MS_C358D","346701",1,1,"          ","2","NEWPICK","0",2016/02/29 0:00:00,2022/04/08 16:35:36
"346703","003460","DPF","DPF:ﾄﾙｸﾚﾝﾁ　差圧ｾﾝｻ2","3",1,"10","2","作業指示サーバ","20220400012",1,"202204",12,0,"3000775",2022/04/08 16:35:37,"0","作業指示サーバ","           ","1","      ",0,0,1558532,2020/10/13 0:00:00," ","基幹サーバ","20220400012","1","202204",12,0,0,2016/02/29 0:00:00," ","MP5600","20220400012","1","202204",12,0,3000775,2022/04/08 16:35:30,"0",0,"MS_C358D","346701",579,579,"          ","1","設備制御","0",2016/02/29 0:00:00,2022/04/08 16:35:37
"346704","003460","DPF","DPF:ﾄﾙｸﾚﾝﾁ　温度ｾﾝｻ2","3",1,"10","2","作業指示サーバ","20220400012",1,"202204",12,0,"3000775",2022/04/08 16:35:37,"0","作業指示サーバ","           ","1","      ",0,0,1559146,2020/10/13 0:00:00," ","基幹サーバ","20220400012","1","202204",12,0,0,2016/02/29 0:00:00," ","MP5600","20220400012","1","202204",12,0,3000775,2022/04/08 16:35:32,"0",0,"MS_C358D","346701",578,578,"          ","1","設備制御","0",2016/02/29 0:00:00,2022/04/08 16:35:37
"346705","003460","DPF","DPF:ﾘｰｸﾃｽﾀレーン2","3",1,"10","2","作業指示サーバ","20220400012",1,"202204",12,0,"3000775",2022/04/08 16:35:38,"0","作業指示サーバ","           ","1","      ",0,0,1256205,2022/03/22 18:44:13," ","基幹サーバ","20220400012","1","202204",12,0,0,2016/02/29 0:00:00," ","MP5600","20220400012","1","202204",12,0,3000775,2022/04/08 16:35:33,"0",0,"MS_C358D","346701",2,2,"          ","1","設備制御","0",2016/02/29 0:00:00,2022/04/08 16:35:38
