"PLANT_CD","SECTION_CD","LINE_CD","LINE_NM","LINE_SHORT_NM","DISPLAY_ORDER1","DISPLAY_ORDER2","DISPLAY_ORDER3","DISPLAY_ORDER4","DISPLAY_ORDER5","APPLY_START_DT","APPLY_END_DT","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG"
"28","010000","003020","ÇdÇqÇa","ERB",0,22,32,32,32,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/04/18 11:15:05,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003030","ÇdÇ`","EA",0,24,33,33,33,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/04/02 11:15:05,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003040","ÇdÇ`Çe","EAF",0,23,34,34,34,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/02/19 9:43:46,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003050","ÇdÇs","ET",0,25,35,35,35,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/02/19 9:43:46,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003060","ÇnÇdÇl","OEM",0,31,36,36,36,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/02/19 9:43:46,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003070","ÇdÇr","ES",0,30,37,37,37,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/02/19 9:43:46,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003080","ÇdÇo","EP",0,29,38,38,38,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/02/19 9:43:46,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003090","ÇdÇsÇq","ETR",0,26,39,39,39,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/04/03 11:15:05,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003430","ÇdÇ`ÇOÇV","EA07",0,27,40,40,40,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/02/19 9:43:46,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003450","ÇdÇsÇOÇV","ET07",0,28,41,41,41,1988/01/01 0:00:00,9999/12/31 23:59:59,2013/02/19 9:43:46,"ogura","lin001",2016/01/04 20:52:02,"FUKUDA","lin001"
"28","010000","003460","ÇcÇoÇe","DPF",0,32,0,0,0,2016/02/05 0:00:00,9999/12/31 23:59:59,2016/02/05 15:57:22,"ICR","SQL",2016/02/05 15:57:22,"C00152","SQL"
