"MODEL_CD","COUNTRY_CD","NEW_COUNTRY_SGN","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG"
"1300011000","270","0",,,,,,
"1300013000","   ","1",,,,,,
"1G77020000","   ","0",,,,,,
"1G77030000","   ","0",,,,,,
"1J80000000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80000001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80010000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80010001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80011000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80011001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80016051","   ","1",2019/03/07 4:31:16,,"PLAN_S_P_MM982T",2019/03/07 4:31:16,,"PLAN_S_P_MM982T"
"1J80016051","310","1",2019/03/08 4:31:14,,"PLAN_S_P_MM982T",2019/03/08 4:31:14,,"PLAN_S_P_MM982T"
"1J80090011","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80090041","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80100000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80100000","110","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80100000","210","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80100000","270","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80118051","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80125001","   ","1",2019/03/07 4:31:16,,"PLAN_S_P_MM982T",2019/03/07 4:31:16,,"PLAN_S_P_MM982T"
