"IMG_ANL_GROUP_CD","IMG_ANL_ITEM_CD","DISPLAY_ORDER","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG","COORDINATION_FLG","INDEX_NO","SUPPLEMENTARY_INFO_FLG","DELETE_FLG"
"0000000001","0000000001",1,2023/07/21 15:39:30,"hand","hand",2023/07/21 15:39:40,"hand","hand","1",1,"1","0"
"0000000001","0000000002",2,2023/07/21 15:41:26,"hand","hand",2023/07/21 15:41:35,"hand","hand","0",2,"1","0"
"0000000001","0000000003",3,2023/07/21 15:41:26,"hand","hand",2023/07/21 15:41:35,"hand","hand","0",2,"1","0"
"0000000001","0000000004",4,2023/09/12 11:26:44,"807011","AnlGroupInput",2023/09/12 11:26:44,"807011","AnlGroupInput","0",,"0","0"
"0000000001","0000000005",5,2023/09/12 11:26:45,"807011","AnlGroupInput",2023/09/12 11:26:45,"807011","AnlGroupInput","0",,"0","0"
"0000000001","0000000006",6,2023/09/12 11:26:45,"807011","AnlGroupInput",2023/09/12 11:26:45,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000000001",12,2023/09/06 14:28:59,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","0",333,"0","0"
"0000000002","0000000002",13,2023/09/06 14:33:02,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","0",123,"0","0"
"0000000002","0000000003",14,2023/09/06 14:34:39,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","0",333,"0","0"
"0000000002","0000000004",15,2023/09/07 9:01:42,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","0",567,"0","0"
"0000000002","0000000005",16,2023/09/07 9:01:43,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","1",123,"0","0"
"0000000002","0000000006",17,2023/09/07 11:19:22,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000000007",18,2023/09/07 11:19:32,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","1",666,"0","0"
"0000000002","0000000008",19,2023/09/11 6:50:55,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","0",888,"1","0"
"0000000002","0000000009",20,2023/09/11 6:54:58,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000000010",21,2023/09/11 6:56:48,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","1",999,"1","0"
"0000000002","0000000011",22,2023/09/11 7:11:28,"807011","AnlGroupInput",2023/09/20 9:51:29,"807011","AnlGroupInput","0",789,"0","0"
"0000000002","0000000012",34,2023/09/11 7:14:49,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000000013",35,2023/09/14 13:28:52,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000000014",36,2023/09/14 13:28:52,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000000015",37,2023/09/14 13:28:52,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000000016",38,2023/09/14 13:28:53,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
