"IMG_ANL_ITEM_CD","REVISION_NO","IMG_ANL_ITEM_NM","USING_TOOL","USING_MODEL","CATEGORY","DEF_NG_TYPE_CD","LINE_CD","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG","STREAM","EXPECT_RESULT","STATION"
"0000000001",0,"型式ラベル","1","利用モデル1","改定番号0","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","1",,"212302"
"0000000001",1,"型式ラベルNEW","1","利用モデル1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000000002",0,"クボタラベル","1","利用モデル1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000000002",1,"クボタラベル","1","利用モデル1",,,"002120",2023/09/04 13:40:08,"807011","AnlItemInput",2023/09/04 13:40:08,"807011","AnlItemInput","3",,"212302"
"0000000002",2,"クボタラベル","1","利用モデル11",,,"002120",2023/09/20 9:49:10,"807011","AnlItemInput",2023/09/20 9:49:10,"807011","AnlItemInput","3",,"212302"
"0000000003",0,"ロアリンク","1","利用モデル1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000000003",1,"ロアリンク","1",,,,"002120",2023/09/04 13:36:20,"807011","AnlItemInput",2023/09/04 13:36:20,"807011","AnlItemInput",,,"212302"
"0000000003",2,"ロアリンク","2","1",,,"002120",2023/09/12 9:48:23,"807011","AnlItemInput",2023/09/12 9:48:23,"807011","AnlItemInput","1","1","212302"
"0000000004",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000005",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000006",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000007",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000008",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000009",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000010",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000011",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000012",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000013",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000014",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000015",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000016",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000017",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000018",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000019",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000000020",0,"ロアリンク","1",,,,"002120",2023/09/04 13:36:00,"807011","AnlItemInput",2023/09/04 13:36:00,"807011","AnlItemInput",,,"212302"
"0000001001",0,"型式ラベルNEW","1","1","改定番号1","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","2",,"212302"
"0000001001",1,"画像解析項目2","1","テストモデル",,,"002120",2023/09/05 10:21:27,"807011","AnlItemInput",2023/09/05 10:21:27,"807011","AnlItemInput",,,"212302"
"0000001002",0,"クボタラベル","1","1","手すり有無","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","3",,"212302"
"0000001002",1,"クボタラベル","1",,,,"002120",2023/09/04 13:40:38,"807011","AnlItemInput",2023/09/04 13:40:38,"807011","AnlItemInput",,,"212302"
"0000001003",0,"ロアリンク1","2","1","テストカテゴリ","1","002120",2022/12/07 0:00:00,"hand","hand",2022/12/07 0:00:00,"hand","hand","4",,"212302"
"0000001003",1,"ロアリンク1003","2","234",,,"002120",2023/08/18 18:26:14,"807011","AnlItemInput",2023/08/18 18:26:14,"807011","AnlItemInput","123","345","212302"
"0000001003",2,"ロアリンク1003","1","234",,,"002120",2023/08/18 18:27:56,"807011","AnlItemInput",2023/08/18 18:27:56,"807011","AnlItemInput","123","345","212302"
"0000001003",3,"ロアリンク1003","1","234",,,"002120",2023/08/18 18:28:20,"807011","AnlItemInput",2023/08/18 18:28:20,"807011","AnlItemInput","333","345","212302"
