"PLANT_CD","PRODUCT_MODEL_CD","PRODUCT_MODEL_NM","SALES_MODEL_FLG","OTHER_MODEL_FLG","GENERAL_PATTERN_CD","ASSEMBLY_PATTERN_CD","ASSEMBLY_PATTERN_SUB_CD","SERIES_MODEL_CD","SERIES_MODEL_NM","GROUP_MODEL_CD","GROUP_MODEL_NM","BASE_MODEL_CD","BASE_MODEL_NM","PLAN_COMPONENT_LV","SALES_MODEL_CMPNT_KIND_CD","UNIT_SGN","INLAND_EXPORT_SGN","MAKE_BUY_SGN","PRODUCT_MAKE_BUY_SGN","OE_SGN","OE_SGN_PLAN","ORDER_REP_CD","FINANCIAL_MODEL_GROUP_CD","FINANCIAL_MODEL_GROUP_NM","FINANCIAL_LARGE_CLASS_CD","FINANCIAL_MIDDLE_CLASS_CD","FINANCIAL_REPORT_CLASS_CD","FINANCIAL_SMALL_CLASS_CD","LINE_CD","MODEL_FAMILY","PACKING_SGN","INSTALLED_ENGINE_SGN","INSTALL_NEED_TYP","RESERVE_MODEL_SGN","ORDER_TYP","INSTALLED_ENGINE_LT","DELIVERY_ENGINE_LT","DRAFT_SGN","SUMMARY_CARTON_TYP","DISPLAY_TYP","DOMESTIC_ACTUAL_QUOTES","EXPORT_ACTUAL_QUOTES","FIRST_ARTICLE_COMPLETION_DT","OUT_OF_PRODUCTION_YMD","APPLY_END_MONTH","PLAN_USER_ID","REGIST_CHECK_SGN","BM_REGIST_YMD","REGIST_YMD","CREATE_DT","UPDATE_DT","UPDATE_DT_ADD","UPDATE_BY_ADD"
"28","TC88095028","V2403-M-T-E3B-EU-X8 ",0,0,"10","19"," ",,,,,"E124000028","V2403(OEM)          ","10","999","0","1","1","1","6","6","906","1J47700000","V2403-M-T-E3B-EU-X8 ","050","052","002","052","100000","510"," ","3"," "," "," ",0,0," ","B"," ",0,281400,2007/11/12 0:00:00,"      ","      ","k090053","1","20070709","        ",2007/06/30 0:42:44,2009/05/07 20:26:34,2007/06/30 0:42:44,"INIT"
"28","1J47700001","V2403-M-T-E3B-EU-X8R",0,0,"10","19"," ",,,,,"E124000028","V2403(OEM)          ","10","999","0","1","1","1","6","6","906","1J47700001","V2403-M-T-E3B-EU-X8R","050","052","002","052","100000","510"," ","3"," "," "," ",0,0," ","B"," ",0,314300,2014/12/23 0:00:00,"      ","      ","k090053","1","20130509","        ",2013/04/26 1:30:27,2013/05/30 14:21:00,2013/04/26 1:30:27,"INIT"
"28","1J47700002","V2403-M-T-E3B-EU-X8F",0,0,"10","19"," ",,,,,"E124000028","V2403(OEM)          ","10","999","0","1","1","1","6","6","906","1J47700002","V2403-M-T-E3B-EU-X8F","050","052","002","052","100000","510"," ","3"," "," "," ",0,0," ","B"," ",0,283400,2014/01/20 0:00:00,"      ","      ","k090053","1","20131112","        ",2013/11/01 1:30:34,2013/11/12 15:32:08,2013/11/01 1:30:34,"INIT"
"28","1J47712000","V2403-M-T-E3B-EU-Y8 ",0,0,"10","19"," ",,,,,"E124000028","V2403(OEM)          ","10","999","0","1","1","1","6","6","906","1J47712000","V2403-M-T-E3B-EU-Y8 ","   ","   ","   ","   ","100000","510"," ","3"," "," "," ",0,0," ","B"," ",0,0,,"202011","      ","k090053","1","20070809","        ",2007/08/02 0:48:04,2009/05/07 20:26:34,2020/12/01 15:03:03,"960009"
"28","1J73010000","V2607-DI-E3-BH-3    ",0,0,"10","18"," ",,,,,"E226000028","V2607(OEM)          ","10","999","0","1","1","1","G","G","906","1J73010000","V2607-DI-E3-BH-3    ","190","196","682","192","100000","510"," ","2","1"," "," ",0,0," ","B","1",246100,246100,2009/01/09 0:00:00,"      ","      ","k208075","1","20081007","        ",2008/10/02 1:31:42,2010/05/14 10:55:10,2008/10/02 1:31:42,"INIT"
"28","1J73010001","V2607-DI-E3-BH-3-BB ",0,0,"10","18"," ",,,,,"E226000028","V2607(OEM)          ","10","999","0","1","1","1","G","G","906","1J73010001","V2607-DI-E3-BH-3-BB ","050","062","002","062","100000","510"," ","3","1"," "," ",0,0," ","B","1",238900,238900,2013/05/23 0:00:00,"      ","      ","k208075","1","20130114","        ",2009/12/18 1:05:13,2013/01/15 14:38:48,2009/12/18 1:05:13,"INIT"
"28","1J73011000","V2607-DI-E3-BH-7    ",0,0,"10","18"," ",,,,,"E226000028","V2607(OEM)          ","10","999","0","1","1","1","G","G","906","1J73011000","V2607-DI-E3-BH-7    ","190","196","682","192","100000","510"," ","2","1"," "," ",0,0," ","B","1",246700,246700,2010/08/18 0:00:00,"      ","      ","k208075","1","20100513","        ",2010/05/13 0:43:10,2010/09/15 1:16:48,2010/05/13 0:43:10,"INIT"
"28","1J73011001","V2607-DI-E3-BH-7-BB ",0,0,"10","18"," ",,,,,"E226000028","V2607(OEM)          ","10","999","0","1","1","1","G","G","906","1J73011001","V2607-DI-E3-BH-7-BB ","050","062","002","062","100000","510"," ","3","1"," "," ",0,0," ","B","1",240900,240900,2015/10/15 0:00:00,"      ","      ","k208075","1","20121102","        ",2010/12/15 1:27:42,2012/11/14 21:14:36,2010/12/15 1:27:42,"INIT"
"28","1J73020000","V2607-DI-E3-BH-5    ",0,0,"10","18"," ",,,,,"E226000028","V2607(OEM)          ","10","999","0","1","1","1","G","G","906","1J73020000","V2607-DI-E3-BH-5    ","190","196","682","192","100000","510"," ","2","1"," "," ",0,0," ","B","1",245100,245100,2009/07/29 0:00:00,"      ","      ","k208075","1","20090526","        ",2009/05/26 0:41:25,2010/04/27 0:58:46,2009/05/26 0:41:25,"INIT"
"28","1G77461000","V3307-DI-E2-1-SS-CHN",0,0,"10","14"," ",,,,,"E033000028","V3307(Ä³»²)         ","10","999","0","1","1","1","E","E","906","1G77461000","V3307-DI-E2-1-SS-CHN","050","061","312","061","100000","100"," ","1","1"," "," ",0,0," ","B","1",0,301200,2009/06/01 0:00:00,"      ","      ","k208075","1","20081010","        ",2008/10/10 0:55:26,2012/10/26 1:44:18,2008/10/10 0:55:26,"INIT"
